Image,Train
001.jpg,1
002.jpg,1
003.jpg,1
004.jpg,0
005.jpg,0
006.jpg,1
007.jpg,1
008.jpg,1
009.jpg,1
010.jpg,1
011.jpg,0
012.jpg,1
013.jpg,0
014.jpg,1
015.jpg,1
016.jpg,1
017.jpg,1
018.jpg,1
019.jpg,1
020.jpg,1
021.jpg,1
022.jpg,1
023.jpg,1
024.jpg,1
025.jpg,1
026.jpg,1
027.jpg,0
028.jpg,1
029.jpg,1
030.jpg,1
031.jpg,1
032.jpg,1
033.jpg,1
034.jpg,1
035.jpg,1
036.jpg,1
037.jpg,0
038.jpg,1
039.jpg,1
040.jpg,1
041.jpg,1
042.jpg,1
043.jpg,0
044.jpg,1
045.jpg,1
046.jpg,1
047.jpg,1
048.jpg,0
049.jpg,1
050.jpg,1
051.jpg,1
052.jpg,1
053.jpg,1
054.jpg,1
055.jpg,1
056.jpg,1
057.jpg,1
058.jpg,1
059.jpg,0
060.jpg,1
061.jpg,1
062.jpg,1
063.jpg,1
064.jpg,1
065.jpg,0
066.jpg,1
067.jpg,0
068.jpg,1
069.jpg,0
070.jpg,1
071.jpg,1
072.jpg,1
073.jpg,1
074.jpg,1
075.jpg,1
076.jpg,0
077.jpg,1
078.jpg,1
079.jpg,1
080.jpg,1
081.jpg,1
082.jpg,1
083.jpg,1
084.jpg,1
085.jpg,0
086.jpg,1
087.jpg,1
088.jpg,0
089.jpg,1
090.jpg,1
091.jpg,1
092.jpg,1
093.jpg,1
094.jpg,1
095.jpg,1
096.jpg,1
097.jpg,1
098.jpg,1
099.jpg,1
100.jpg,1
101.jpg,1
102.jpg,1
103.jpg,1
104.jpg,1
105.jpg,1
106.jpg,1
107.jpg,0
108.jpg,1
109.jpg,0
110.jpg,1
111.jpg,1
112.jpg,1
113.jpg,1
114.jpg,1
115.jpg,1
116.jpg,1
117.jpg,1
118.jpg,0
119.jpg,1
120.jpg,1
121.jpg,0
122.jpg,1
123.jpg,1
124.jpg,1
125.jpg,1
126.jpg,0
127.jpg,1
128.jpg,0
129.jpg,0
130.jpg,0
131.jpg,1
132.jpg,1
133.jpg,1
134.jpg,1
135.jpg,1
136.jpg,1
137.jpg,1
138.jpg,1
139.jpg,1
140.jpg,0
141.jpg,0
142.jpg,1
143.jpg,1
144.jpg,1
145.jpg,1
146.jpg,1
147.jpg,0
148.jpg,1
149.jpg,1
150.jpg,0
151.jpg,1
152.jpg,1
153.jpg,1
154.jpg,1
155.jpg,0
156.jpg,1
157.jpg,0
158.jpg,1
159.jpg,0
160.jpg,1
161.jpg,0
